  1.0000000000000000E+00  0.0000000000000000E+00
  9.9992470183914450E-01  1.2271538285719925E-02
  9.9969881869620425E-01  2.4541228522912288E-02
  9.9932238458834954E-01  3.6807222941358832E-02
  9.9879545620517241E-01  4.9067674327418015E-02
  9.9811811290014918E-01  6.1320736302208578E-02
  9.9729045667869021E-01  7.3564563599667426E-02
  9.9631261218277800E-01  8.5797312344439894E-02
  9.9518472667219693E-01  9.8017140329560604E-02
  9.9390697000235606E-01  1.1022220729388306E-01
  9.9247953459870997E-01  1.2241067519921620E-01
  9.9090263542778001E-01  1.3458070850712617E-01
  9.8917650996478101E-01  1.4673047445536175E-01
  9.8730141815785843E-01  1.5885814333386145E-01
  9.8527764238894122E-01  1.7096188876030122E-01
  9.8310548743121629E-01  1.8303988795514095E-01
  9.8078528040323043E-01  1.9509032201612825E-01
  9.7831737071962765E-01  2.0711137619221856E-01
  9.7570213003852857E-01  2.1910124015686980E-01
  9.7293995220556018E-01  2.3105810828067111E-01
  9.7003125319454397E-01  2.4298017990326387E-01
  9.6697647104485207E-01  2.5486565960451457E-01
  9.6377606579543984E-01  2.6671275747489837E-01
  9.6043051941556579E-01  2.7851968938505306E-01
  9.5694033573220882E-01  2.9028467725446233E-01
  9.5330604035419386E-01  3.0200594931922808E-01
  9.4952818059303667E-01  3.1368174039889152E-01
  9.4560732538052128E-01  3.2531029216226293E-01
  9.4154406518302081E-01  3.3688985339222005E-01
  9.3733901191257496E-01  3.4841868024943456E-01
  9.3299279883473896E-01  3.5989503653498811E-01
  9.2850608047321559E-01  3.7131719395183754E-01
  9.2387953251128674E-01  3.8268343236508978E-01
  9.1911385169005777E-01  3.9399204006104810E-01
  9.1420975570353069E-01  4.0524131400498986E-01
  9.0916798309052238E-01  4.1642956009763715E-01
  9.0398929312344334E-01  4.2755509343028208E-01
  8.9867446569395382E-01  4.3861623853852766E-01
  8.9322430119551532E-01  4.4961132965460654E-01
  8.8763962040285393E-01  4.6053871095824001E-01
  8.8192126434835505E-01  4.7139673682599764E-01
  8.7607009419540660E-01  4.8218377207912272E-01
  8.7008699110871146E-01  4.9289819222978404E-01
  8.6397285612158670E-01  5.0353838372571758E-01
  8.5772861000027212E-01  5.1410274419322166E-01
  8.5135519310526520E-01  5.2458968267846895E-01
