rho      	     0.89
beta     	     0.61
n_coeff  	      255  
n_fft    	     1024  
f0p_inf  	    48.61
f0p_h0   	    15.59
f0p_h1   	    46.43
f0m      	     0.44
q1m      	     3.29
q0_inf   	     0.83
q0_h1    	     0.68
q0tn_h1  	     0.44
r0tn_inf 	 2.71e-09
r0tn_h1  	 2.45e-09
K_inf    	     2.02
K_1      	     0.77
K_2      	     1.46
beta1    	     0.61
beta2    	     3.18
beta3    	     4.57
beta4    	   251.99
beta5    	    80.77
beta6    	  3978.32
